 ,Thief Rogue,Control Warrior,Beast Hunter,Mech Paladin,Curse Warlock,Bless Priest,Ramp Druid,Naga Mage,Boar Priest,Holy Paladin,Handbuff Paladin,Burn Shaman,Pirate Rogue,Mech Mage,Murloc Warlock,Quest Warrior
Thief Rogue,0.5,0.352362487,0.502449052,0.490461402,0.519792243,0.5261313,0.644217813,0.527194705,0.573226697,0.331985458,0.45326051,0.509749107,0.594036697,0.545430052,0.630205044,0.574577979
Control Warrior,0.647637513,0.5,0.42923341,0.318104209,0.561444635,0.413924611,0.301542208,0.630160518,0.380069695,0.589023495,0.395781119,0.576075501,0.55010703,0.523164557,0.506160473,0.359068627
Beast Hunter,0.497550948,0.57076659,0.5,0.425686774,0.538454052,0.514880952,0.609671394,0.490591893,0.61471565,0.449242424,0.476363788,0.455950442,0.559533514,0.507683658,0.590144231,0.727044142
Mech Paladin,0.509538598,0.681895791,0.574313226,0.5,0.570113122,0.377219251,0.60932063,0.422685457,0.407044956,0.51468254,0.569166239,0.447416857,0.581722689,0.390108401,0.425314465,0.593159486
Curse Warlock,0.480207757,0.438555365,0.461545948,0.429886878,0.5,0.437703394,0.471912965,0.581010753,0.592401501,0.531439925,0.427949183,0.598997494,0.530119509,0.600215517,0.682255993,0.370445344
Bless Priest,0.4738687,0.586075389,0.485119048,0.622780749,0.562296606,0.5,0.697656297,0.533096433,0.646651073,0.384841971,0.60511442,0.387874505,0.513917344,0.644207167,0.479206566,0.584444444
Ramp Druid,0.355782187,0.698457792,0.390328606,0.39067937,0.528087035,0.302343703,0.5,0.454390847,0.809740928,0.525464094,0.415140845,0.516109422,0.389178392,0.311520376,0.19920142,0.375675676
Naga Mage,0.472805295,0.369839482,0.509408107,0.577314543,0.418989247,0.466903567,0.545609153,0.5,0.385843731,0.393620365,0.425,0.466709347,0.5943855,0.563636364,0.488405797,0.48715415
Boar Priest,0.426773303,0.619930305,0.38528435,0.592955044,0.407598499,0.353348927,0.190259072,0.614156269,0.5,0.566588137,0.627642601,0.409521788,0.374128468,0.506751688,0.571923077,0.335680751
Holy Paladin,0.668014542,0.410976505,0.550757576,0.48531746,0.468560075,0.615158029,0.474535906,0.606379635,0.433411863,0.5,0.62202381,0.495448179,0.679734848,0.60252193,0.533018868,0.389258029
Handbuff Paladin,0.54673949,0.604218881,0.523636212,0.430833761,0.572050817,0.39488558,0.584859155,0.575,0.372357399,0.37797619,0.5,0.489025461,0.594827586,0.382275132,0.5,0.5
Burn Shaman,0.490250893,0.423924499,0.544049558,0.552583143,0.401002506,0.612125495,0.483890578,0.533290653,0.590478212,0.504551821,0.510974539,0.5,0.52943662,0.648395722,0.481325864,0.535227273
Pirate Rogue,0.405963303,0.44989297,0.440466486,0.418277311,0.469880491,0.486082656,0.610821608,0.4056145,0.625871532,0.320265152,0.405172414,0.47056338,0.5,0.472222222,0.703947368,0.5
Mech Mage,0.454569948,0.476835443,0.492316342,0.609891599,0.399784483,0.355792833,0.688479624,0.436363636,0.493248312,0.39747807,0.617724868,0.351604278,0.527777778,0.5,0.482142857,0.552197802
Murloc Warlock,0.369794956,0.493839527,0.409855769,0.574685535,0.317744007,0.520793434,0.80079858,0.511594203,0.428076923,0.466981132,0.5,0.518674136,0.296052632,0.517857143,0.5,0.5
Quest Warrior,0.425422021,0.640931373,0.272955858,0.406840514,0.629554656,0.415555556,0.624324324,0.51284585,0.664319249,0.610741971,0.5,0.464772727,0.5,0.447802198,0.5,0.5
